"text" "favorited" "favoriteCount" "replyToSN" "created" "truncated" "replyToSID" "id" "replyToUID" "statusSource" "screenName" "retweetCount" "isRetweet" "retweeted" "longitude" "latitude"
"Acrylic Flower Clutches Purse https://t.co/4lbUb2qhUH 36.64
<U+0001F60E> Did you snag this deal ?
<U+0001F31F><U+0001F31F><U+0001F31F> SHOP DEALS <U+0001F449> https://t.co/g7GjuLq2QC
DEAL MIGHT EXP… https://t.co/oWmEYu0xcd" FALSE 1 NA 2021-10-03 16:34:27 TRUE NA "1444702397545263106" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "PerfectGoods2" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:34:26 FALSE NA "1444702392285417472" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "LuzmanNajmi_97" 2556 TRUE FALSE NA NA
"I will do amazon book promotion and ebook marketing on social media Order Now: https://t.co/pD4aS37jFU #BBC_News… https://t.co/6fGVPdUYee" FALSE 0 NA 2021-10-03 16:34:16 TRUE NA "1444702350011035650" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "Aynul102" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:34:12 FALSE NA "1444702335725281282" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "poppygranate" 2556 TRUE FALSE NA NA
"RT @pnso_official: Ta-da, please say hi to Requena the Livyatan, an invincible predator 12 million years ago in the sea. The online sale of…" FALSE 0 NA 2021-10-03 16:34:01 FALSE NA "1444702288543723522" NA "<a href=\"https://www.madmods4u.com\" rel=\"nofollow\">StreamHelperApp</a>" "HelperStream" 66 TRUE FALSE NA NA
"Really need to stop thinking that online shopping will help me feel better…

But whatever. New dresses will be here Friday <U+0001F937><U+0001F3FD><U+200D><U+2640><U+FE0F>" FALSE 0 NA 2021-10-03 16:34:00 FALSE NA "1444702282734526465" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "_bpollard" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:33:59 FALSE NA "1444702281392443394" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "RonnyMacaroni" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:33:59 FALSE NA "1444702279215497217" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "GamesKenshin" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:33:49 FALSE NA "1444702238178299906" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "jelajahinazuma" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:33:47 FALSE NA "1444702230632812544" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "akicrn" 2556 TRUE FALSE NA NA
"Today I am sharing my referral link to join @AmexUK! <U+0001F449> https://t.co/JKAXUfnyxN… by doing so you’ll earn 21,000… https://t.co/R0SwgW3MVa" FALSE 0 NA 2021-10-03 16:33:39 TRUE NA "1444702197216911361" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "BestSaverTips" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:33:38 FALSE NA "1444702190988234758" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "OfficialSpimy" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:33:34 FALSE NA "1444702175721000960" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "asdfghjklove21" 2556 TRUE FALSE NA NA
"RT @FlipoIogy: $30 <U+2192> $500 <U+0001F4B0> A few weeks ago, all Flipology members were notified to purchase these Metallic Superman Funko Pops online for…" FALSE 0 NA 2021-10-03 16:33:09 FALSE NA "1444702071546994693" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "FlipoIogy" 105 TRUE FALSE NA NA
"RT @pnso_official: Ta-da, please say hi to Requena the Livyatan, an invincible predator 12 million years ago in the sea. The online sale of…" FALSE 0 NA 2021-10-03 16:32:57 FALSE NA "1444702021324615682" NA "<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>" "TMunderwear" 66 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:32:55 FALSE NA "1444702011417497601" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "norimakii" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:32:48 FALSE NA "1444701983840088070" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Demigod_Frost" 2556 TRUE FALSE NA NA
"<U+2757>50% OFF<U+0001F525> ***USE CODE:  404F6DHN
<U+0001F60E> Did you snag this deal ?
<U+0001F31F><U+0001F31F><U+0001F31F> SHOP DEALS <U+0001F449> https://t.co/g7GjuLq2QC
DEAL MIGHT EXP… https://t.co/NyIXKOLiYn" FALSE 1 NA 2021-10-03 16:32:44 TRUE NA "1444701964613427206" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "PerfectGoods2" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:32:43 FALSE NA "1444701960142196741" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "Dakota318084" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:32:42 FALSE NA "1444701956115550214" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Kitsundeer" 2556 TRUE FALSE NA NA
"RT @gsrescueelite: Katie is reminding everyone who shops online to use Easy Fundraising and Amazon Smile as a % of your sale is donated to…" FALSE 0 NA 2021-10-03 16:32:31 FALSE NA "1444701912746668044" NA "<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>" "SianMarlow" 26 TRUE FALSE NA NA
"RT @Joses_World: <U+0001F384><U+0001F381> It’s that time, it’s the Christmas Online Shopping Directory. From big brands to small brands - all on one page.  <U+0001F9D1><U+200D><U+0001F384><U+0001F69A>…" FALSE 0 NA 2021-10-03 16:32:12 FALSE NA "1444701831934918657" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "naomi_ault" 13 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:32:02 FALSE NA "1444701787366125569" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "xingxiao__" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:31:58 FALSE NA "1444701773311066113" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "NicoViolett" 2556 TRUE FALSE NA NA
"RT @xcslys: @tr9gedy if we dated, we’ll always be shopping online. especially on big sales, we’ll stay up all night adding things to cart.…" FALSE 0 NA 2021-10-03 16:31:39 FALSE NA "1444701692180590600" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "tr9gedy" 1 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:31:34 FALSE NA "1444701671389544452" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "DistantSilver" 2556 TRUE FALSE NA NA
"RT @IGiveGyaan: Me when I see ppl around me shopping online : https://t.co/Xbos1wOzze" FALSE 0 NA 2021-10-03 16:31:31 FALSE NA "1444701657242079232" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "IGiveGyaan" 1 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:31:30 FALSE NA "1444701654419329024" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "beatoscatbox86" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:31:18 FALSE NA "1444701603630653445" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "bloopboops" 2556 TRUE FALSE NA NA
"@tr9gedy if we dated, we’ll always be shopping online. especially on big sales, we’ll stay up all night adding thin… https://t.co/LHsSAUyeoe" FALSE 1 "tr9gedy" 2021-10-03 16:31:15 TRUE "1444294902771187727" "1444701591425015813" "1443125771426426880" "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "xcslys" 1 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:31:09 FALSE NA "1444701568545091587" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "kawaiipandaa333" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:31:02 FALSE NA "1444701535829565444" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "LD_Maxwell" 2556 TRUE FALSE NA NA
"Me when I see ppl around me shopping online : https://t.co/Xbos1wOzze" FALSE 0 NA 2021-10-03 16:30:56 FALSE NA "1444701511494168576" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "IGiveGyaan" 1 FALSE FALSE NA NA
"Its my online shopping page for USA people follow this page" FALSE 0 NA 2021-10-03 16:30:51 FALSE NA "1444701491386793986" NA "<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>" "AmirMal87687959" 0 FALSE FALSE NA NA
"I am shopping for trucks online and these wheels make me want to kms WHY https://t.co/IvxrV1ehiF" FALSE 15 NA 2021-10-03 16:30:48 FALSE NA "1444701477558161411" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "minkahunter" 0 FALSE FALSE NA NA
"RT @GenshinUpdate: You can now pre-order the Genshin Impact online concert gift box!

<U+0001F5D3> Duration: October 4 12:00 – October 30 23:59 (UTC+8…" FALSE 0 NA 2021-10-03 16:30:34 FALSE NA "1444701420930875393" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "baizhuflavor" 10 TRUE FALSE NA NA
"@HDFCBank_Cares @amazonIN unable to make payment of 33k . It is newly open account. No online transaction has yet d… https://t.co/pxRh3Ftwe5" FALSE 0 "HDFCBank_Cares" 2021-10-03 16:30:33 TRUE NA "1444701414203146240" "145931959" "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "rahulkr911" 0 FALSE FALSE NA NA
"FREE GrooveFunnels lifetime account! Website creator. Funnel builder. Online shopping cart. Everything you need to… https://t.co/Wzs581Ksn1" FALSE 0 NA 2021-10-03 16:30:32 TRUE NA "1444701411715936257" NA "<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>" "Earnathometips" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:30:32 FALSE NA "1444701409962717184" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "88Alice_wonder" 2556 TRUE FALSE NA NA
"RT @pnso_official: Ta-da, please say hi to Requena the Livyatan, an invincible predator 12 million years ago in the sea. The online sale of…" FALSE 0 NA 2021-10-03 16:30:21 FALSE NA "1444701367461990405" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "TetZoo" 66 TRUE FALSE NA NA
"love to put things in my online shopping cart and then debate for five business days if i actually need any of them" FALSE 0 NA 2021-10-03 16:29:55 FALSE NA "1444701256178601988" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "rmkellis" 0 FALSE FALSE NA NA
"RT @FlipoIogy: $83 <U+2192> $650 <U+0001F4B0> This limited edition coin released online last week for $83. Now selling for $650 on ebay <U+0001F4C8> All Flipology membe…" FALSE 0 NA 2021-10-03 16:29:54 FALSE NA "1444701251804045315" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "scrowder34" 80 TRUE FALSE NA NA
"@aheroinesdeath @stand_for_all Probably wrote in on the back of a Sainsburys online shopping order printout." FALSE 1 "aheroinesdeath" 2021-10-03 16:29:53 FALSE "1444698241757483012" "1444701247592882181" "128975102" "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "TankerTimelapse" 0 FALSE FALSE NA NA
"RT @rdanielkelemen: 41. #BrexitReality: more on damage to online shopping trade... \"The new rules have put thousands of specialist online b…" FALSE 0 NA 2021-10-03 16:29:51 FALSE NA "1444701239762202633" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "daftguru" 41 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:29:36 FALSE NA "1444701175253590021" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "HARUKl_NAKAYAMA" 2556 TRUE FALSE NA NA
"RT @TunNarata: My art was stolen and sell online on Ebay. I never sell my fanarts anywhere as merchandises or as digital goods. The art is…" FALSE 0 NA 2021-10-03 16:29:34 FALSE NA "1444701169968979972" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "CriminTPK" 31 TRUE FALSE NA NA
"RT @rdanielkelemen: 39. #BrexitReality: online shopping costs shoot up https://t.co/LZUDt5VBe8" FALSE 0 NA 2021-10-03 16:29:29 FALSE NA "1444701147961376772" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "daftguru" 29 TRUE FALSE NA NA
"RT @FlipoIogy: $120 <U+2192> $400+ <U+0001F4B0> This limited edition Pokemon Ball released online yesterday for $120. Now selling for over $400 on ebay <U+0001F4C8> 

I…" FALSE 0 NA 2021-10-03 16:29:28 FALSE NA "1444701141502083076" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "FlipoIogy" 65 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:29:22 FALSE NA "1444701119293235200" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Shin0mia" 2556 TRUE FALSE NA NA
"RT @Old_Pens_RFC: Thanks to everyone for raising donations for Old Penarthians RFC with @easyuk! If you haven't signed up yet, 6,000 shops…" FALSE 0 NA 2021-10-03 16:29:16 FALSE NA "1444701092160356368" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "JeffNorman1" 1 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:59 FALSE NA "1444701021746257927" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "36Xave" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:56 FALSE NA "1444701007762518022" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "deyuaru" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:51 FALSE NA "1444700989068484611" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "PrimoBambino_" 2556 TRUE FALSE NA NA
"There have been mixed feelings concerning BuzzBgone zap. Many of the online reviews in most popular sites like Amaz… https://t.co/XxVrPPin0i" FALSE 0 "Whole_Gadgets" 2021-10-03 16:28:48 TRUE "1444700973952380945" "1444700974577328137" "1275841788562100227" "<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">WordPress.com</a>" "Whole_Gadgets" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:35 FALSE NA "1444700919237513218" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "UoCj3ZB3FVefNZ3" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:34 FALSE NA "1444700919011188747" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Puja723" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:29 FALSE NA "1444700897292992519" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "LilRubyy__" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:20 FALSE NA "1444700857304453129" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "u_rning" 2556 TRUE FALSE NA NA
"Thanks to everyone for raising donations for Old Penarthians RFC with @easyuk! If you haven't signed up yet, 6,000… https://t.co/A5bdMivNJS" FALSE 1 NA 2021-10-03 16:28:09 TRUE NA "1444700813985787912" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Old_Pens_RFC" 1 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:28:00 FALSE NA "1444700774202679298" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "shinarinchii" 2556 TRUE FALSE NA NA
"Gonna do some online shopping bc why not." FALSE 0 NA 2021-10-03 16:27:59 FALSE NA "1444700768687304710" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "salty1pt0" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:27:56 FALSE NA "1444700759191343114" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "tzuwy_bread" 2556 TRUE FALSE NA NA
"@farhanahaziz6 Online shopping ke" FALSE 0 "farhanahaziz6" 2021-10-03 16:27:37 FALSE "1444698505331691520" "1444700679461691396" "1488241868" "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "shafiqbuang" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:27:16 FALSE NA "1444700591159070725" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "Lumiya1211" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:27:14 FALSE NA "1444700579947679749" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "kouji405" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:27:05 FALSE NA "1444700544271097860" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "kevinAguirre117" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:27:05 FALSE NA "1444700543666905091" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "jenara_YT" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:26:54 FALSE NA "1444700496371978240" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "DuongNguy1810" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:26:38 FALSE NA "1444700431519674371" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Shukyyyyyy" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:26:36 FALSE NA "1444700422514659332" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "nukaoff" 2556 TRUE FALSE NA NA
"RT @DealBeeOfficial: Pantry Master Link : https://t.co/UEKWsAy7Q7" FALSE 0 NA 2021-10-03 16:26:25 FALSE NA "1444700377530597377" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Narendraksai" 1 TRUE FALSE NA NA
"I’m always shopping online <U+0001F926><U+0001F3FE><U+200D><U+2640><U+FE0F>" FALSE 0 NA 2021-10-03 16:26:24 FALSE NA "1444700371851616262" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "_megnogood" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:26:11 FALSE NA "1444700318302982145" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "KhromTweets" 2556 TRUE FALSE NA NA
"RT @BW: French shopkeepers built their own online store to beat the pandemic. It's still thriving, even as lockdowns ease https://t.co/Rmf6…" FALSE 0 NA 2021-10-03 16:26:11 FALSE NA "1444700316813963272" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "AmechokaPunda" 2 TRUE FALSE NA NA
"Discount Shopping Websites For Online Shopper's
https://t.co/ThfyGLOtg1 https://t.co/0xVXcpvI41" FALSE 0 NA 2021-10-03 16:26:11 FALSE NA "1444700316201521156" NA "<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>" "Offerncodes1" 0 FALSE FALSE NA NA
"<U+2757>65% OFF<U+0001F525> ***USE CODE:  ZQ7S2IJC
<U+0001F60E> Did you snag this deal ?
<U+0001F31F><U+0001F31F><U+0001F31F> SHOP DEALS <U+0001F449> https://t.co/g7GjuLq2QC
DEAL MIGHT EXP… https://t.co/zAVaApNs2u" FALSE 1 NA 2021-10-03 16:26:09 TRUE NA "1444700309037649929" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "PerfectGoods2" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:25:55 FALSE NA "1444700248387977218" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "ItzMeZaid" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:25:54 FALSE NA "1444700246672433152" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "mnqueberalo" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:25:45 FALSE NA "1444700206868705285" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "kazuheartz" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 16:25:38 FALSE NA "1444700177701294091" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "unlucky_lukey09" 2556 TRUE FALSE NA NA
"RT @gsrescueelite: Katie is reminding everyone who shops online to use Easy Fundraising and Amazon Smile as a % of your sale is donated to…" FALSE 0 NA 2021-10-03 16:25:33 FALSE NA "1444700157237465088" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "pixiecatwoman" 26 TRUE FALSE NA NA
