"Runtime","Genre","Rating","Metascore","Gross","nominated"
96,"
Animation",8.2,88,293,"nominated"
86,"
Animation",5.8,46,100,"nominated"
107,"
Crime",6.5,50,67.64,"not nominated"
103,"
Comedy",5.3,33,60.4,"not nominated"
97,"
Adventure",6.3,68,82.99,"not nominated"
104,"
Comedy",7.3,73,114.9,"nominated"
127,"
Action",8.1,68,402.4,"nominated"
81,"
Drama",6.3,58,67.27,"not nominated"
99,"
Action",6.4,70,78,"nominated"
95,"
Comedy",5.9,51,63.37,"not nominated"
108,"
Comedy",6.2,45,26.26,"not nominated"
113,"
Adventure",4.2,27,20.38,"not nominated"
117,"
Crime",6.3,57,23,"not nominated"
96,"
Comedy",6.4,28,88.92,"not nominated"
154,"
Adventure",7.2,73,95.64,"nominated"
92,"
Comedy",5.8,52,80.2,"not nominated"
124,"
Action",5.9,48,69.24,"not nominated"
124,"
Comedy",7.2,79,24,"nominated"
122,"
Comedy",7.7,81,132,"nominated"
126,"
Action",7,68,162.8,"nominated"
142,"
Adventure",6.8,52,119.6,"nominated"
106,"
Action",4.9,48,100.8,"not nominated"
144,"
Adventure",7.4,59,255.1,"nominated"
195,"
Biography",8.9,94,96.9,"nominated"
83,"
Animation",7.2,52,73.28,"nominated"
83,"
Comedy",5.3,29,71.31,"not nominated"
123,"
Action",6.1,59,215.4,"not nominated"
95,"
Comedy",6,49,39.32,"not nominated"
108,"
Drama",6.5,60,40.5,"nominated"
107,"
Comedy",6.1,60,55.47,"not nominated"
97,"
Action",7,56,241.4,"nominated"
110,"
Action",6,36,70.98,"not nominated"
114,"
Action",5.5,39,116.6,"not nominated"
98,"
Drama",6.5,69,66.82,"not nominated"
109,"
Drama",7.6,68,119.2,"nominated"
103,"
Comedy",4.5,50,90.49,"not nominated"
123,"
Action",5.9,40,325.1,"nominated"
117,"
Comedy",6.7,65,76.11,"nominated"
81,"
Animation",7.5,60,176.3,"nominated"
125,"
Biography",7.4,75,56.47,"nominated"
93,"
Drama",4.7,23,64.89,"not nominated"
137,"
Action",6.7,38,77.87,"nominated"
115,"
Animation",6.2,59,82.16,"not nominated"
101,"
Horror",6.5,44,29.5,"not nominated"
141,"
Action",6.7,44,100.2,"not nominated"
131,"
Action",7.4,75,195,"not nominated"
91,"
Action",6.1,38,39.67,"not nominated"
88,"
Crime",7.1,71,89.22,"not nominated"
102,"
Comedy",7.1,83,80.64,"nominated"
115,"
Biography",6.8,25,135,"nominated"
135,"
Action",6.6,61,113.2,"not nominated"
180,"
Biography",8.2,75,116.9,"nominated"
143,"
Drama",7.2,55,144.8,"nominated"
95,"
Animation",8.1,94,356.4,"nominated"
104,"
Comedy",6.2,71,21.49,"nominated"
98,"
Comedy",6,52,68.38,"not nominated"
156,"
Action",8,76,183.6,"nominated"
101,"
Action",5.8,60,70.45,"not nominated"
106,"
Drama",6.7,70,75.66,"not nominated"
157,"
Drama",7.4,95,95.72,"nominated"
114,"
Action",6.5,59,55.47,"nominated"
117,"
Action",7.6,52,210.6,"not nominated"
134,"
Action",7.4,68,214.9,"not nominated"
113,"
Action",6.4,60,84.05,"nominated"
109,"
Action",6.3,46,76.42,"not nominated"
110,"
Action",6.6,77,56.94,"not nominated"
104,"
Crime",6.5,48,65.33,"not nominated"
96,"
Drama",6,58,35.62,"not nominated"
124,"
Drama",7.7,86,54.8,"nominated"
113,"
Drama",6.3,38,55,"not nominated"
109,"
Action",6.8,49,74.49,"not nominated"
139,"
Crime",7.4,76,81.3,"nominated"
91,"
Horror",5.9,49,110.3,"not nominated"
119,"
Action",5.8,39,98.78,"not nominated"
122,"
Action",7.7,76,53.61,"nominated"
193,"
Adventure",7.8,91,21.5,"nominated"
115,"
Action",6.1,56,101.3,"nominated"
130,"
Action",6.5,73,90.46,"nominated"
146,"
Biography",7.6,74,50.67,"nominated"
140,"
Action",7.3,62,44.48,"not nominated"
109,"
Action",6.4,51,66.53,"not nominated"
105,"
Action",6.4,38,30.5,"not nominated"
139,"
Drama",7.2,90,32.2,"nominated"
138,"
Drama",7.5,61,47.95,"nominated"
90,"
Comedy",6,44,88.1,"not nominated"
129,"
Comedy",6.9,85,148.7,"not nominated"
101,"
Action",6.7,45,38.12,"not nominated"
120,"
Comedy",6.9,74,174.5,"not nominated"
132,"
Adventure",6.4,48,82.26,"not nominated"
113,"
Comedy",7.2,81,170.6,"nominated"
121,"
Drama",6.8,53,32.63,"nominated"
98,"
Comedy",6.8,57,117.5,"not nominated"
129,"
Action",7.2,51,54.81,"nominated"
105,"
Drama",4.5,31,100.4,"not nominated"
86,"
Adventure",5.2,35,153.2,"not nominated"
81,"
Animation",7.7,73,52.04,"nominated"
90,"
Action",5.1,51,20.17,"not nominated"
137,"
Action",6.6,65,281.7,"not nominated"
101,"
Comedy",6.2,42,93.35,"not nominated"
127,"
Adventure",7.9,79,124.9,"nominated"
128,"
Action",6.4,57,126.9,"not nominated"
87,"
Action",5.8,25,49.04,"not nominated"
97,"
Comedy",6.9,69,95.46,"nominated"
127,"
Comedy",6.6,39,57.06,"nominated"
104,"
Adventure",5.8,31,58.85,"nominated"
105,"
Action",5.5,27,78.75,"not nominated"
125,"
Comedy",7.1,85,65.02,"nominated"
105,"
Drama",6.9,67,201.1,"nominated"
105,"
Action",7,52,59.51,"not nominated"
115,"
Action",7.1,59,144.8,"nominated"
155,"
Action",8.5,67,187.7,"nominated"
125,"
Adventure",5.9,69,128,"nominated"
115,"
Drama",5.9,37,27.12,"nominated"
141,"
Action",7.4,76,412.5,"not nominated"
77,"
Animation",7.3,83,53.36,"not nominated"
112,"
Comedy",4.9,57,90.56,"not nominated"
97,"
Comedy",7,66,86.06,"not nominated"
99,"
Comedy",6.9,57,113.5,"nominated"
97,"
Comedy",6.3,64,34.07,"not nominated"
112,"
Comedy",6.6,75,25.41,"not nominated"
102,"
Comedy",6.9,45,36.6,"not nominated"
93,"
Comedy",6.7,68,36.4,"not nominated"
103,"
Comedy",6.2,82,62.13,"not nominated"
109,"
Horror",6.5,62,102,"not nominated"
123,"
Action",6.6,58,162.4,"not nominated"
123,"
Crime",6.8,48,81.16,"not nominated"
136,"
Action",6.8,63,94.1,"nominated"
82,"
Comedy",6.3,45,51.76,"not nominated"
100,"
Adventure",7.3,79,20.96,"nominated"
149,"
Action",6,35,402.1,"nominated"
100,"
Comedy",6.2,60,113.2,"not nominated"
111,"
Crime",6.3,61,57.14,"not nominated"
124,"
Comedy",7.5,71,40.57,"nominated"
118,"
Action",6.7,40,144.7,"not nominated"
91,"
Adventure",7,47,40.9,"not nominated"
99,"
Action",5.7,37,83.67,"not nominated"
150,"
Biography",7.3,86,182.2,"nominated"
99,"
Adventure",3.7,27,45.52,"not nominated"
103,"
Comedy",6.7,61,106.8,"not nominated"
110,"
Action",5.3,35,115.8,"not nominated"
99,"
Comedy",5.3,47,51.43,"not nominated"
126,"
Drama",7.5,83,73.86,"nominated"
120,"
Action",8.1,90,154,"nominated"
102,"
Comedy",6.9,72,33.08,"not nominated"
110,"
Action",6.9,50,179.8,"nominated"
126,"
Action",7.9,79,318.4,"nominated"
154,"
Action",7.7,55,111.1,"nominated"
128,"
Action",7.6,57,209,"nominated"
121,"
Comedy",6.4,64,61.8,"nominated"
84,"
Action",6.8,61,69.47,"not nominated"
101,"
Action",5.6,29,80.28,"not nominated"
95,"
Animation",6.4,59,119.7,"not nominated"
96,"
Comedy",7.4,81,143.5,"nominated"
101,"
Crime",7.2,66,21.82,"nominated"
113,"
Crime",6.5,54,34.73,"not nominated"
128,"
Comedy",6.7,66,124.7,"nominated"
104,"
Action",5.6,16,42.61,"not nominated"
130,"
Drama",6.6,51,155.4,"not nominated"
111,"
Horror",7.3,65,103,"not nominated"
138,"
Drama",7.7,62,141.3,"nominated"
93,"
Comedy",5.3,42,59.48,"not nominated"
100,"
Action",5.2,66,85.85,"not nominated"
131,"
Action",7.7,61,54.23,"not nominated"
115,"
Drama",6.6,68,56.7,"nominated"
94,"
Animation",6.6,55,177.4,"not nominated"
106,"
Crime",6.5,67,159.3,"not nominated"
103,"
Comedy",7.6,63,285.7,"nominated"
143,"
Action",7.7,81,304.3,"nominated"
106,"
Comedy",7.3,70,148.1,"not nominated"
127,"
Drama",7.3,61,32.65,"nominated"
118,"
Comedy",6.1,52,78.03,"not nominated"
110,"
Horror",6.7,57,21.2,"not nominated"
110,"
Drama",7.1,77,116.7,"nominated"
147,"
Crime",7.6,86,124.1,"nominated"
108,"
Adventure",7.8,57,118.5,"nominated"
122,"
Action",6.8,72,59.62,"not nominated"
118,"
Crime",8.6,85,130.7,"nominated"
117,"
Action",6.9,64,83.29,"not nominated"
95,"
Animation",5.4,41,108,"not nominated"
104,"
Comedy",5.1,33,80.27,"not nominated"
91,"
Animation",7.1,47,148.3,"not nominated"
118,"
Action",7.2,70,61.26,"not nominated"
122,"
Action",7.5,75,92.03,"not nominated"
124,"
Action",6.4,47,186.7,"not nominated"
99,"
Action",5.2,33,117.5,"not nominated"
87,"
Animation",7.3,80,183.1,"not nominated"
117,"
Action",6.7,60,128.3,"not nominated"
136,"
Action",7.7,70,259.7,"nominated"
111,"
Comedy",5.6,43,77.34,"not nominated"
91,"
Action",6.3,45,25.22,"not nominated"
102,"
Adventure",6.4,22,60.09,"not nominated"
106,"
Action",7.8,94,188.3,"nominated"
122,"
Drama",7.4,81,51.72,"nominated"
138,"
Drama",7.6,90,132,"nominated"
115,"
Comedy",7.1,53,143.1,"not nominated"
136,"
Drama",6.7,64,16.9,"nominated"
