rating,reviewText
4.0,The V is quite deep but definitely not a deal breaker . . . Shirt texture A+ really soft cotton . . . long enough to stay tucked into the pants . . . A bit pricey but solid product.
5.0,What can I say...  They are great T-shirts.
4.0,excellent quality
2.0,"I always order my under shirts online and I usually get the Tommy brand, but this time I wanted to try a different brand. Bad Idea! I'm 5'10"", 170 lbs and I alway wear Medium size shirts and T-Shirts so I ordered the Medium size this time as well, but when they arrived they were SO BIG. I wouldn't care if they were still a little big and wearable but they look like they could be XXL. Ive contacted Amazon to return the item but now I have to pay for the shipment, very disappointing.
The item itself has a very good quality, but it's a bit more thicker than usual for an undershirt."
5.0,Excellent fit. Very comfortable. Would buy again.
5.0,Great product.
5.0,Great product shipped as promised and very fast delivery
4.0,GOOD!
3.0,The T-Shirts is nice very nice but the size was a little bit larger than I expected
5.0,Great quality undershirt.
4.0,"Good quality cotton, fit as expected."
3.0,Lasts long and stays dark for many washes.
4.0,"A little big, but make no difference."
5.0,Excellent product even if it's made in Bangladesh.
5.0,It's fit
5.0,Best tee's you can buy.
5.0,as expected
5.0,Shipped fast great shirts. Fits well
3.0,I order S but the white is  M !
5.0,I love these shirts. They fit well and are a standard in my wardrobe with an over shirt.
3.0,"One of the shirts in my pack was a size large, instead of medium."
5.0,A++++
5.0,Great shirts. They feel good and the cut is nice.
5.0,"Nice prodcut, just what I expected."
4.0,Little bit bigger
5.0,great shirt
5.0,As excepted.
4.0,good
5.0,Fit as expected
5.0,Shrinks
3.0,"These shirts shrink very fast, so be careful."
5.0,Perfect Fit
4.0,Good order
4.0,"It's so good , I like it."
5.0,Very nice trim look
5.0,Excellent
